categoria,objetivo,objetivo_nome,concept_id,fonte,indicador,sub_itens,descricao,escala,populacao,valor_normalizado,ano_fonte
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_MATRICULA,munic,MUNIC_SERV_TRANS_MATRICULA,total,Serviço transacional — matrícula escolar online,prop_0_100,prefeituras,0.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_NFE,munic,MUNIC_SERV_TRANS_NFE,total,Serviço transacional — Nota Fiscal Eletrônica,prop_0_100,prefeituras,0.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_OUVIDORIA,munic,MUNIC_SERV_TRANS_OUVIDORIA,total,Serviço transacional — ouvidoria online,prop_0_100,prefeituras,100.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_PROCESSOS,munic,MUNIC_SERV_TRANS_PROCESSOS,total,Serviço transacional — consulta a processos,prop_0_100,prefeituras,0.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_SATISFACAO,munic,MUNIC_SERV_TRANS_SATISFACAO,total,Serviço transacional — pesquisa de satisfação,prop_0_100,prefeituras,0.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_SAUDE,munic,MUNIC_SERV_TRANS_SAUDE,total,Serviço transacional — agendamento consulta saúde,prop_0_100,prefeituras,0.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SERV_TRANS_TRIBUTOS,munic,MUNIC_SERV_TRANS_TRIBUTOS,total,Serviço transacional — guia de pagamento de tributos,prop_0_100,prefeituras,100.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SMART_BILHETE,munic,MUNIC_SMART_BILHETE,total,Bilhete eletrônico no transporte público,prop_0_100,prefeituras,100.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/MUNIC_SMART_GPS_ONIBUS,munic,MUNIC_SMART_GPS_ONIBUS,total,Ônibus com GPS para informação ao usuário,prop_0_100,prefeituras,100.0,2024
AC,2,Qualidade dos Serviços Digitais,munic/PAGINA_POSSUI_TITULO,munic,PAGINA_POSSUI_TITULO,total,Páginas com título descritivo na aba do navegador (WCAG 2.4.2),prop_0_100,prefeituras,0.0,2024
AC,3,Identificação Única,munic/MUNIC_AUTENTICACAO,munic,MUNIC_AUTENTICACAO,total,Autenticação para acessar serviços pela internet,prop_0_100,prefeituras,0.0,2024
AC,4,Segurança e LGPD,munic/MUNIC_LGPD,munic,MUNIC_LGPD,total,Disseminação de orientações sobre LGPD na prefeitura,prop_0_100,prefeituras,0.0,2024
AC,4,Segurança e LGPD,munic/MUNIC_LGPD_CANAL_TITULAR,munic,MUNIC_LGPD_CANAL_TITULAR,total,Canal pela internet para titulares de dados (LGPD),prop_0_100,prefeituras,0.0,2024
AC,4,Segurança e LGPD,munic/MUNIC_LGPD_CAPACIT,munic,MUNIC_LGPD_CAPACIT,total,Cursos de segurança da informação e proteção de dados para servidores,prop_0_100,prefeituras,100.0,2024
AC,4,Segurança e LGPD,munic/MUNIC_LGPD_REGULAMENT,munic,MUNIC_LGPD_REGULAMENT,total,Regulamentação municipal específica sobre LGPD,prop_0_100,prefeituras,0.0,2024
AC,4,Segurança e LGPD,munic/MUNIC_LGPD_RESP,munic,MUNIC_LGPD_RESP,total,Responsável LGPD designado no município,prop_0_100,prefeituras,0.0,2024
AC,5,Dados e Interoperabilidade,munic/MUNIC_DADOS_ABERTOS,munic,MUNIC_DADOS_ABERTOS,total,Portal de dados abertos,prop_0_100,prefeituras,0.0,2024
AC,6,Infraestrutura,censo_escolar/IN_COMPUTADOR,censo_escolar,IN_COMPUTADOR,total,% escolas com computador,binario_agregar,escolas,88.69,2024
AC,6,Infraestrutura,censo_escolar/IN_INTERNET,censo_escolar,IN_INTERNET,total,% escolas com acesso à Internet,binario_agregar,escolas,86.86,2024
AC,6,Infraestrutura,censo_escolar/IN_INTERNET_ALUNOS,censo_escolar,IN_INTERNET_ALUNOS,total,% escolas com Internet para alunos,binario_agregar,escolas,28.47,2024
AC,6,Infraestrutura,censo_escolar/IN_INTERNET_APRENDIZAGEM,censo_escolar,IN_INTERNET_APRENDIZAGEM,total,% escolas com Internet para ensino,binario_agregar,escolas,45.99,2024
AC,6,Infraestrutura,censo_escolar/IN_LABORATORIO_INFORMATICA,censo_escolar,IN_LABORATORIO_INFORMATICA,total,% escolas com laboratório de informática,binario_agregar,escolas,32.12,2024
AC,6,Infraestrutura,anatel/BLM02,anatel,BLM02,total,% de domicílios cobertos por telefonia móvel,pct_meta_100,domicilios,95.22,2025
AC,6,Infraestrutura,munic/MUNIC_CPD,munic,MUNIC_CPD,total,Centro de Processamento de Dados na prefeitura,prop_0_100,prefeituras,100.0,2024
AC,6,Infraestrutura,munic/MUNIC_INCLUSAO_DIGITAL,munic,MUNIC_INCLUSAO_DIGITAL,total,Programa ou ação de inclusão digital,prop_0_100,prefeituras,100.0,2024
AC,6,Infraestrutura,munic/MUNIC_INTERNET,munic,MUNIC_INTERNET,total,Municípios com evidência afirmativa de conexão à Internet,prop_0_100,prefeituras,100.0,2024
AC,6,Infraestrutura,munic/MUNIC_SMART_CENTRO_CONTROLE,munic,MUNIC_SMART_CENTRO_CONTROLE,total,Centro de controle operacional,prop_0_100,prefeituras,100.0,2024
AC,6,Infraestrutura,munic/MUNIC_SMART_ILUMINACAO,munic,MUNIC_SMART_ILUMINACAO,total,Iluminação inteligente com medição de consumo,prop_0_100,prefeituras,0.0,2024
AC,6,Infraestrutura,munic/MUNIC_SMART_SEMAFOROS,munic,MUNIC_SMART_SEMAFOROS,total,Semáforos inteligentes controlados a distância,prop_0_100,prefeituras,100.0,2024
AC,6,Infraestrutura,munic/MUNIC_SMART_SENSORES,munic,MUNIC_SMART_SENSORES,total,Sensores para monitoramento de áreas de risco,prop_0_100,prefeituras,100.0,2024
AC,6,Infraestrutura,munic/MUNIC_WIFI_PUBLICO,munic,MUNIC_WIFI_PUBLICO,total,Acesso público à Internet (Wi-Fi) pela prefeitura,prop_0_100,prefeituras,100.0,2024
AC,9,Transparência e Participação,munic/MUNIC_ATIV_REDES_CONSULTA,munic,MUNIC_ATIV_REDES_CONSULTA,total,Atividade em redes sociais — consulta pública/enquete,prop_0_100,prefeituras,0.0,2024
AC,9,Transparência e Participação,munic/MUNIC_CONSELHO_TRANSP,munic,MUNIC_CONSELHO_TRANSP,total,Existência de Conselho Municipal de Transparência,prop_0_100,prefeituras,100.0,2024
AC,9,Transparência e Participação,munic/MUNIC_LAI,munic,MUNIC_LAI,total,Disseminação de orientações sobre LAI na prefeitura,prop_0_100,prefeituras,0.0,2024
