categoria,objetivo,objetivo_nome,concept_id,fonte,indicador,sub_itens,descricao,escala,populacao,valor_normalizado,ano_fonte
Total,2,Qualidade dos Serviços Digitais,estadic/ESTADIC_SERV_INFORMATIVOS,estadic,ESTADIC_SERV_INFORMATIVOS,total,Serviços informativos disponibilizados na página da internet,prop_0_100,governo_estadual,81.02,2024
Total,2,Qualidade dos Serviços Digitais,estadic/ESTADIC_SERV_TRANSACIONAIS,estadic,ESTADIC_SERV_TRANSACIONAIS,total,Serviços transacionais disponibilizados na página da internet,prop_0_100,governo_estadual,75.21,2024
Total,3,Identificação Única,tic_gov/C9B_A,tic_gov,C9B,['A'],Login único Gov.br para acesso a serviços online,prop_0_100,orgaos_e_prefeituras,13.38965,2023
Total,3,Identificação Única,iospd/IOSPD_I09,iospd,IOSPD_I09,total,Assinatura eletrônica Gov.br (IOSPD I.9),indice_0_10,uf,62.96,2025
Total,3,Identificação Única,iospd/IOSPD_V07,iospd,IOSPD_V07,total,Emissão da CIN — Carteira de Identidade Nacional (IOSPD V.7),indice_0_10,uf,81.48,2025
Total,3,Identificação Única,munic/MUNIC_AUTENTICACAO,munic,MUNIC_AUTENTICACAO,total,Autenticação para acessar serviços pela internet,prop_0_100,prefeituras,38.1,2024
Total,4,Segurança e LGPD,tic_gov/G1,tic_gov,G1,total,Responsável LGPD,prop_0_100,ambos,50.2654,2023
Total,4,Segurança e LGPD,tic_gov/G3_A,tic_gov,G3,['A'],Nomeação de encarregado de dados pessoais (DPO),prop_0_100,ambos,35.2307,2023
Total,4,Segurança e LGPD,tic_gov/G3_B,tic_gov,G3,['B'],Canal online sobre o uso de dados pessoais,prop_0_100,ambos,46.12075,2023
Total,4,Segurança e LGPD,tic_gov/G3_C,tic_gov,G3,['C'],Política de privacidade publicada com bases legais,prop_0_100,orgaos,44.4536,2023
Total,4,Segurança e LGPD,tic_gov/G3_C_PREF,tic_gov,G3,['C'],Documento de papéis e responsabilidades sobre a LGPD,prop_0_100,prefeituras,28.6243,2023
Total,4,Segurança e LGPD,tic_gov/G3_D,tic_gov,G3,['D'],Plano de resposta a incidentes relacionados a dados pessoais,prop_0_100,orgaos,31.6758,2023
Total,4,Segurança e LGPD,tic_saude/A8,tic_saude,A8,total,Política de segurança da informação (C8a quest. → A8 portal),prop_0_100,estabelecimentos_que_utilizaram_internet_12m,41.6422,2024
Total,4,Segurança e LGPD,tic_saude/A8A,tic_saude,A8A,total,Treinamento em segurança (C8b quest. → A8A portal),prop_0_100,estabelecimentos_que_utilizaram_internet_12m,47.2449,2024
