categoria,objetivo,objetivo_nome,sub_indice,n_objetivos_com_dados
2107506,6,Infraestrutura,64.16,7
2107506,7,Inovação e Tecnologias Emergentes,,7
2107506,8,Eficiência e Processos,,7
2107506,9,Transparência e Participação,55.56,7
2107506,10,Competências em Governo Digital,,7
2111201,1,Governança do Governo Digital,100.0,7
2111201,2,Qualidade dos Serviços Digitais,79.33,7
2111201,3,Identificação Única,100.0,7
2111201,4,Segurança e LGPD,0.0,7
2111201,5,Dados e Interoperabilidade,100.0,7
2111201,6,Infraestrutura,54.88,7
2111201,7,Inovação e Tecnologias Emergentes,,7
2111201,8,Eficiência e Processos,,7
2111201,9,Transparência e Participação,66.67,7
2111201,10,Competências em Governo Digital,,7
2111300,1,Governança do Governo Digital,100.0,7
2111300,2,Qualidade dos Serviços Digitais,85.33,7
2111300,3,Identificação Única,100.0,7
2111300,4,Segurança e LGPD,60.0,7
2111300,5,Dados e Interoperabilidade,100.0,7
2111300,6,Infraestrutura,66.34,7
2111300,7,Inovação e Tecnologias Emergentes,,7
2111300,8,Eficiência e Processos,,7
2111300,9,Transparência e Participação,66.67,7
2111300,10,Competências em Governo Digital,,7
2112209,1,Governança do Governo Digital,100.0,7
2112209,2,Qualidade dos Serviços Digitais,44.67,7
2112209,3,Identificação Única,0.0,7
2112209,4,Segurança e LGPD,20.0,7
2112209,5,Dados e Interoperabilidade,0.0,7
2112209,6,Infraestrutura,85.32,7
2112209,7,Inovação e Tecnologias Emergentes,,7
2112209,8,Eficiência e Processos,,7
2112209,9,Transparência e Participação,77.78,7
2112209,10,Competências em Governo Digital,,7
2207702,1,Governança do Governo Digital,100.0,7
2207702,2,Qualidade dos Serviços Digitais,54.67,7
2207702,3,Identificação Única,100.0,7
2207702,4,Segurança e LGPD,20.0,7
2207702,5,Dados e Interoperabilidade,100.0,7
2207702,6,Infraestrutura,35.28,7
2207702,7,Inovação e Tecnologias Emergentes,,7
2207702,8,Eficiência e Processos,,7
2207702,9,Transparência e Participação,66.67,7
2207702,10,Competências em Governo Digital,,7
2211001,1,Governança do Governo Digital,100.0,7
2211001,2,Qualidade dos Serviços Digitais,80.0,7
2211001,3,Identificação Única,100.0,7
2211001,4,Segurança e LGPD,100.0,7
2211001,5,Dados e Interoperabilidade,0.0,7
2211001,6,Infraestrutura,96.51,7
2211001,7,Inovação e Tecnologias Emergentes,,7
2211001,8,Eficiência e Processos,,7
2211001,9,Transparência e Participação,55.56,7
2211001,10,Competências em Governo Digital,,7
2303709,1,Governança do Governo Digital,100.0,7
2303709,2,Qualidade dos Serviços Digitais,82.0,7
2303709,3,Identificação Única,100.0,7
2303709,4,Segurança e LGPD,40.0,7
2303709,5,Dados e Interoperabilidade,0.0,7
2303709,6,Infraestrutura,66.55,7
2303709,7,Inovação e Tecnologias Emergentes,,7
2303709,8,Eficiência e Processos,,7
2303709,9,Transparência e Participação,55.56,7
2303709,10,Competências em Governo Digital,,7
2304202,1,Governança do Governo Digital,100.0,7
2304202,2,Qualidade dos Serviços Digitais,60.0,7
2304202,3,Identificação Única,100.0,7
2304202,4,Segurança e LGPD,60.0,7
2304202,5,Dados e Interoperabilidade,100.0,7
2304202,6,Infraestrutura,56.98,7
2304202,7,Inovação e Tecnologias Emergentes,,7
2304202,8,Eficiência e Processos,,7
2304202,9,Transparência e Participação,66.67,7
2304202,10,Competências em Governo Digital,,7
2304400,1,Governança do Governo Digital,100.0,7
2304400,2,Qualidade dos Serviços Digitais,84.0,7
2304400,3,Identificação Única,100.0,7
2304400,4,Segurança e LGPD,80.0,7
2304400,5,Dados e Interoperabilidade,100.0,7
2304400,6,Infraestrutura,77.11,7
2304400,7,Inovação e Tecnologias Emergentes,,7
2304400,8,Eficiência e Processos,,7
2304400,9,Transparência e Participação,55.56,7
2304400,10,Competências em Governo Digital,,7
2306405,1,Governança do Governo Digital,0.0,7
2306405,2,Qualidade dos Serviços Digitais,61.33,7
2306405,3,Identificação Única,100.0,7
2306405,4,Segurança e LGPD,20.0,7
2306405,5,Dados e Interoperabilidade,100.0,7
2306405,6,Infraestrutura,55.79,7
2306405,7,Inovação e Tecnologias Emergentes,,7
2306405,8,Eficiência e Processos,,7
2306405,9,Transparência e Participação,33.33,7
2306405,10,Competências em Governo Digital,,7
2307304,1,Governança do Governo Digital,100.0,7
2307304,2,Qualidade dos Serviços Digitais,60.0,7
2307304,3,Identificação Única,0.0,7
2307304,4,Segurança e LGPD,100.0,7
2307304,5,Dados e Interoperabilidade,100.0,7
2307304,6,Infraestrutura,77.11,7
2307304,7,Inovação e Tecnologias Emergentes,,7
2307304,8,Eficiência e Processos,,7
2307304,9,Transparência e Participação,66.67,7
2307304,10,Competências em Governo Digital,,7
2307650,1,Governança do Governo Digital,100.0,7
2307650,2,Qualidade dos Serviços Digitais,76.67,7
2307650,3,Identificação Única,100.0,7
2307650,4,Segurança e LGPD,20.0,7
2307650,5,Dados e Interoperabilidade,0.0,7
2307650,6,Infraestrutura,57.18,7
2307650,7,Inovação e Tecnologias Emergentes,,7
2307650,8,Eficiência e Processos,,7
2307650,9,Transparência e Participação,55.56,7
2307650,10,Competências em Governo Digital,,7
2307700,1,Governança do Governo Digital,0.0,7
2307700,2,Qualidade dos Serviços Digitais,53.33,7
2307700,3,Identificação Única,100.0,7
2307700,4,Segurança e LGPD,0.0,7
2307700,5,Dados e Interoperabilidade,100.0,7
2307700,6,Infraestrutura,37.21,7
2307700,7,Inovação e Tecnologias Emergentes,,7
2307700,8,Eficiência e Processos,,7
2307700,9,Transparência e Participação,33.33,7
2307700,10,Competências em Governo Digital,,7
2312908,1,Governança do Governo Digital,100.0,7
2312908,2,Qualidade dos Serviços Digitais,77.33,7
2312908,3,Identificação Única,100.0,7
2312908,4,Segurança e LGPD,20.0,7
2312908,5,Dados e Interoperabilidade,100.0,7
2312908,6,Infraestrutura,86.29,7
2312908,7,Inovação e Tecnologias Emergentes,,7
2312908,8,Eficiência e Processos,,7
2312908,9,Transparência e Participação,77.78,7
2312908,10,Competências em Governo Digital,,7
2403251,1,Governança do Governo Digital,100.0,7
2403251,2,Qualidade dos Serviços Digitais,67.33,7
2403251,3,Identificação Única,100.0,7
2403251,4,Segurança e LGPD,0.0,7
2403251,5,Dados e Interoperabilidade,0.0,7
2403251,6,Infraestrutura,76.97,7
2403251,7,Inovação e Tecnologias Emergentes,,7
2403251,8,Eficiência e Processos,,7
2403251,9,Transparência e Participação,55.56,7
2403251,10,Competências em Governo Digital,,7
2408003,1,Governança do Governo Digital,100.0,7
2408003,2,Qualidade dos Serviços Digitais,73.33,7
2408003,3,Identificação Única,100.0,7
2408003,4,Segurança e LGPD,80.0,7
2408003,5,Dados e Interoperabilidade,0.0,7
2408003,6,Infraestrutura,66.8,7
2408003,7,Inovação e Tecnologias Emergentes,,7
2408003,8,Eficiência e Processos,,7
2408003,9,Transparência e Participação,77.78,7
2408003,10,Competências em Governo Digital,,7
2408102,1,Governança do Governo Digital,100.0,7
2408102,2,Qualidade dos Serviços Digitais,82.0,7
2408102,3,Identificação Única,100.0,7
2408102,4,Segurança e LGPD,20.0,7
2408102,5,Dados e Interoperabilidade,100.0,7
2408102,6,Infraestrutura,77.22,7
2408102,7,Inovação e Tecnologias Emergentes,,7
2408102,8,Eficiência e Processos,,7
2408102,9,Transparência e Participação,61.11,7
2408102,10,Competências em Governo Digital,,7
2412005,1,Governança do Governo Digital,100.0,7
2412005,2,Qualidade dos Serviços Digitais,64.0,7
2412005,3,Identificação Única,100.0,7
2412005,4,Segurança e LGPD,20.0,7
2412005,5,Dados e Interoperabilidade,0.0,7
2412005,6,Infraestrutura,55.7,7
2412005,7,Inovação e Tecnologias Emergentes,,7
2412005,8,Eficiência e Processos,,7
2412005,9,Transparência e Participação,55.56,7
2412005,10,Competências em Governo Digital,,7
2504009,1,Governança do Governo Digital,100.0,7
2504009,2,Qualidade dos Serviços Digitais,78.67,7
2504009,3,Identificação Única,0.0,7
2504009,4,Segurança e LGPD,40.0,7
2504009,5,Dados e Interoperabilidade,100.0,7
2504009,6,Infraestrutura,75.92,7
2504009,7,Inovação e Tecnologias Emergentes,,7
2504009,8,Eficiência e Processos,,7
2504009,9,Transparência e Participação,55.56,7
2504009,10,Competências em Governo Digital,,7
2507507,1,Governança do Governo Digital,100.0,7
2507507,2,Qualidade dos Serviços Digitais,94.67,7
2507507,3,Identificação Única,100.0,7
2507507,4,Segurança e LGPD,60.0,7
2507507,5,Dados e Interoperabilidade,100.0,7
2507507,6,Infraestrutura,66.72,7
2507507,7,Inovação e Tecnologias Emergentes,,7
2507507,8,Eficiência e Processos,,7
2507507,9,Transparência e Participação,88.89,7
2507507,10,Competências em Governo Digital,,7
2510808,1,Governança do Governo Digital,100.0,7
2510808,2,Qualidade dos Serviços Digitais,73.33,7
2510808,3,Identificação Única,100.0,7
2510808,4,Segurança e LGPD,80.0,7
2510808,5,Dados e Interoperabilidade,100.0,7
2510808,6,Infraestrutura,76.36,7
2510808,7,Inovação e Tecnologias Emergentes,,7
2510808,8,Eficiência e Processos,,7
2510808,9,Transparência e Participação,77.78,7
2510808,10,Competências em Governo Digital,,7
2513703,1,Governança do Governo Digital,100.0,7
2513703,2,Qualidade dos Serviços Digitais,51.33,7
2513703,3,Identificação Única,0.0,7
2513703,4,Segurança e LGPD,0.0,7
2513703,5,Dados e Interoperabilidade,0.0,7
2513703,6,Infraestrutura,64.14,7
2513703,7,Inovação e Tecnologias Emergentes,,7
2513703,8,Eficiência e Processos,,7
2513703,9,Transparência e Participação,66.67,7
2513703,10,Competências em Governo Digital,,7
2602902,1,Governança do Governo Digital,100.0,7
2602902,2,Qualidade dos Serviços Digitais,67.33,7
2602902,3,Identificação Única,0.0,7
2602902,4,Segurança e LGPD,40.0,7
2602902,5,Dados e Interoperabilidade,100.0,7
2602902,6,Infraestrutura,45.45,7
2602902,7,Inovação e Tecnologias Emergentes,,7
2602902,8,Eficiência e Processos,,7
2602902,9,Transparência e Participação,66.67,7
2602902,10,Competências em Governo Digital,,7
2603454,1,Governança do Governo Digital,100.0,7
2603454,2,Qualidade dos Serviços Digitais,44.0,7
2603454,3,Identificação Única,100.0,7
2603454,4,Segurança e LGPD,20.0,7
2603454,5,Dados e Interoperabilidade,100.0,7
2603454,6,Infraestrutura,56.67,7
2603454,7,Inovação e Tecnologias Emergentes,,7
2603454,8,Eficiência e Processos,,7
2603454,9,Transparência e Participação,55.56,7
2603454,10,Competências em Governo Digital,,7
2604106,1,Governança do Governo Digital,100.0,7
2604106,2,Qualidade dos Serviços Digitais,92.67,7
2604106,3,Identificação Única,100.0,7
2604106,4,Segurança e LGPD,60.0,7
2604106,5,Dados e Interoperabilidade,100.0,7
2604106,6,Infraestrutura,87.24,7
2604106,7,Inovação e Tecnologias Emergentes,,7
2604106,8,Eficiência e Processos,,7
2604106,9,Transparência e Participação,77.78,7
